"V1","V2","V3","V4"
-0.0105283203125,-0.014546875,-0.0126318359375,-0.009302734375
-0.0077294921875,-0.015798828125,-0.0177880859375,-0.00691796875
-0.0113603515625,-0.012189453125,-0.0131279296875,-0.0097978515625
-0.0091220703125,-0.01609765625,-0.0162919921875,-0.0104306640625
-0.0093671875,-0.00933984375,-0.01271484375,-0.0088291015625
-0.00709375,-0.0146494140625,-0.0144296875,-0.0083251953125
-0.0097666015625,-0.014705078125,-0.02023046875,-0.0086533203125
-0.0157431640625,-0.011958984375,-0.010119140625,-0.0092392578125
-0.0107880859375,-0.009482421875,-0.0150654296875,-0.0113232421875
-0.009474609375,-0.01167578125,-0.01075390625,-0.0088154296875
-0.0085859375,-0.012435546875,-0.0156533203125,-0.0115361328125
-0.0089208984375,-0.0129775390625,-0.0139873046875,-0.010810546875
-0.01233984375,-0.0132470703125,-0.01498046875,-0.0110380859375
-0.008845703125,-0.0118466796875,-0.014470703125,-0.01102734375
-0.0138173828125,-0.0102978515625,-0.011517578125,-0.0119580078125
-0.0071982421875,-0.0140205078125,-0.0146220703125,-0.0092705078125
-0.0123525390625,-0.0112119140625,-0.012669921875,-0.0103271484375
-0.0086884765625,-0.0119501953125,-0.0167626953125,-0.0106982421875
-0.010404296875,-0.0109306640625,-0.014779296875,-0.0108779296875
-0.01179296875,-0.014537109375,-0.01822265625,-0.0113408203125
-0.002916015625,-0.0026884765625,0.00015625,-0.003251953125
-0.003052734375,-0.00286328125,-0.000658203125,-0.002291015625
-0.00270703125,-0.006076171875,-0.0040244140625,-0.003994140625
-0.000900390625,-0.0017060546875,-0.002564453125,-0.0031142578125
-0.0050517578125,0.0004560546875,0.000908203125,-0.00444140625
-0.0004130859375,-0.0015966796875,-0.003130859375,-0.00221484375
-0.005240234375,-0.0022861328125,-0.0012412109375,-0.0045693359375
-0.001796875,-0.005890625,-0.0056181640625,-0.0021953125
-0.007451171875,-0.0001884765625,0.0005810546875,-0.0060263671875
-7.6171875e-05,-0.0074375,-0.002888671875,-0.0008076171875
-0.005421875,0.0002587890625,-0.0019228515625,-0.0066396484375
-0.000748046875,-0.0058876953125,-0.004865234375,-0.004173828125
-0.00317578125,-0.00328125,-0.002060546875,-0.0054560546875
0.0010751953125,-0.0011005859375,-0.00073828125,-0.00256640625
-0.0036796875,-0.000294921875,-0.0025849609375,-0.0042783203125
