"","x"
"1",0.0105283203125
"2",0.0077294921875
"3",0.0113603515625
"4",0.0091220703125
"5",0.0093671875
"6",0.00709375
"7",0.0097666015625
"8",0.0157431640625
"9",0.0107880859375
"10",0.009474609375
"11",0.0085859375
"12",0.0089208984375
"13",0.01233984375
"14",0.008845703125
"15",0.0138173828125
"16",0.0071982421875
"17",0.0123525390625
"18",0.0086884765625
"19",0.010404296875
"20",0.01179296875
"21",0.002916015625
"22",0.003052734375
"23",0.00270703125
"24",0.000900390625
"25",0.0050517578125
"26",0.0004130859375
"27",0.005240234375
"28",0.001796875
"29",0.007451171875
"30",7.6171875e-05
"31",0.005421875
"32",0.000748046875
"33",0.00317578125
"34",0.0010751953125
"35",0.0036796875
"36",0.0042158203125
"37",0.00126953125
"38",0.001265625
"39",0.0013359375
"40",0.0020576171875
"41",7.91015625000001e-05
"42",0.0015009765625
"43",0.004232421875
"44",0.0025810546875
"45",0.0025517578125
"46",0.0039423828125
"47",0.0046611328125
"48",0.004078125
"49",0.0029033203125
"50",0.0037099609375
"51",0.0005849609375
"52",0.0034599609375
"53",0.0006826171875
"54",0.0066533203125
"55",0.00044140625
"56",0.0032724609375
"57",0.0011328125
"58",0.0023671875
"59",0.00360546875
"60",0.0045537109375
"61",0.0001982421875
"62",0.004474609375
"63",0.0011123046875
"64",0.003927734375
"65",0.001390625
"66",0.0036455078125
"67",0.0008427734375
"68",0.004537109375
"69",0.000482421875
"70",0.00188671875
"71",0.0005107421875
"72",0.0007001953125
"73",0.00162109375
"74",0.0072412109375
"75",0.00118359375
"76",0.004130859375
"77",0.00200390625
"78",0.00315625
"79",0.000546875
"80",0.00568359375
"81",0.0005341796875
"82",0.002689453125
"83",0.00258984375
"84",1.17187499999998e-05
"85",0.003998046875
"86",0.0002294921875
"87",0.004615234375
"88",0.0008427734375
"89",0.0096318359375
"90",0.0020419921875
"91",0.0033505859375
"92",0.0014453125
"93",0.006443359375
"94",0.0012646484375
"95",0.00440625
"96",0.0023525390625
"97",0.0021552734375
"98",0.0025537109375
"99",0.0054287109375
"100",0.000859375
"101",0.00203515625
"102",0.00090625
"103",0.00540625
"104",0.0001435546875
"105",0.0022109375
"106",0.0019072265625
"107",0.0032060546875
"108",0.002205078125
"109",0.0004677734375
"110",0.0016787109375
"111",0.0022294921875
"112",0.0005478515625
"113",0.00419140625
"114",0.0010615234375
"115",0.003072265625
"116",0.002283203125
"117",0.003666015625
"118",0.000103515625
"119",0.007775390625
"120",0.0018447265625
"121",0.0003740234375
"122",0.002259765625
"123",0.004330078125
"124",0.0040078125
"125",0.0017255859375
"126",0.000302734375
"127",0.0010810546875
"128",0.002671875
"129",0.006013671875
"130",0.001734375
"131",0.000962890625
"132",0.001494140625
"133",0.0009794921875
"134",0.00278125
"135",0.001494140625
"136",0.00312109375
"137",0.00440625
"138",0.00283203125
"139",0.00212109375
"140",0.00615234375
"141",0.0007744140625
"142",0.0004345703125
"143",0.0032509765625
"144",0.00113671875
"145",0.0071826171875
"146",0.0023671875
"147",4.4921875e-05
"148",0.0004658203125
"149",0.0017060546875
"150",0.0044189453125
"151",0.000716796875
"152",0.0037158203125
"153",0.002669921875
"154",0.000595703125
"155",0.0045732421875
"156",0.003638671875
"157",0.0021630859375
"158",0.0031142578125
"159",0.0058427734375
"160",0.001181640625
"161",0.000654296875
"162",0.003205078125
"163",0.00261328125
"164",0.0022412109375
"165",0.0042587890625
"166",0.00199609375
"167",0.002056640625
"168",0.0034072265625
"169",0.0023291015625
"170",0.0036484375
"171",0.00371875
"172",0.00691015625
"173",6.83593749999999e-06
"174",0.0027529296875
"175",0.0017626953125
"176",0.0035830078125
"177",0.0012109375
"178",0.0034482421875
"179",0.00026171875
"180",0.0011318359375
"181",0.00036328125
"182",0.0035068359375
"183",0.0007392578125
"184",0.005197265625
"185",0.0022421875
"186",0.00259765625
"187",0.002099609375
"188",0.00489453125
"189",0.00278125
"190",0.00175
"191",0.001509765625
